Vicon Pose Position (t_x);t_y;t_z;Vicon Pose Quat (q_w);q_x;q_y;q_z;EKF Pose Position (t_x);t_y;t_z;EKF Pose Quat (q_w);q_x;q_y;q_z;
1.88328;-4.21111;0.428695;0.512733;0.661806;-0.279425;-0.470148;0.351972;-6.6991;-0.000442476;0.434664;-0.0862719;-5.06506e-05;-0.896451;
1.88333;-4.21119;0.428679;0.512532;0.662056;-0.279151;-0.470178;0.529808;-7.13181;-0.134824;0.468275;-0.0743578;0.00458176;-0.880436;
1.8833;-4.21114;0.428781;0.512762;0.661997;-0.279581;-0.469754;0.529808;-7.13181;-0.134824;0.468275;-0.0743578;0.00458176;-0.880436;
1.88329;-4.21117;0.428647;0.512365;0.662141;-0.279162;-0.470234;0.767343;-7.38607;-0.189482;0.47431;-0.0695134;0.00307179;-0.877604;
1.88332;-4.21113;0.428704;0.512504;0.662249;-0.279306;-0.469844;0.767343;-7.38607;-0.189482;0.47431;-0.0695134;0.00307179;-0.877604;
1.88326;-4.21109;0.428752;0.512761;0.661798;-0.279647;-0.469997;1.01229;-7.48755;-0.140345;0.462526;-0.0773538;0.001386;-0.883224;
1.88311;-4.21074;0.428357;0.515982;0.656613;-0.279245;-0.473966;1.38695;-7.49235;-0.0269012;0.472124;-0.06777;-0.00261731;-0.878919;
1.88305;-4.21079;0.428304;0.515765;0.656468;-0.279287;-0.474378;1.38695;-7.49235;-0.0269012;0.472124;-0.06777;-0.00261731;-0.878919;
1.88332;-4.21116;0.42866;0.512581;0.662009;-0.279154;-0.470189;1.51708;-7.50121;0.0834501;0.491824;-0.0834084;-0.0100369;-0.866632;
1.88351;-4.21163;0.429153;0.510786;0.664922;-0.279617;-0.467751;1.51708;-7.50121;0.0834501;0.491824;-0.0834084;-0.0100369;-0.866632;
1.88336;-4.21115;0.428641;0.512779;0.661804;-0.278961;-0.470376;1.6195;-7.53699;0.148786;0.52156;-0.0693479;-0.00621601;-0.850369;
1.88331;-4.21111;0.428721;0.512607;0.662116;-0.279341;-0.469898;1.6195;-7.53699;0.148786;0.52156;-0.0693479;-0.00621601;-0.850369;
1.88348;-4.21164;0.429091;0.51072;0.664776;-0.27958;-0.468052;1.71731;-7.62012;0.212504;0.537948;-0.0786472;-0.0141476;-0.839182;
1.88336;-4.21103;0.428681;0.513187;0.661464;-0.279368;-0.470169;1.71731;-7.62012;0.212504;0.537948;-0.0786472;-0.0141476;-0.839182;
1.88338;-4.21108;0.428717;0.51305;0.661746;-0.279234;-0.47;1.96157;-7.84698;0.349206;0.687615;-0.0709351;-0.00854759;-0.722552;
1.88335;-4.21101;0.428628;0.513377;0.661273;-0.278946;-0.47048;1.96157;-7.84698;0.349206;0.687615;-0.0709351;-0.00854759;-0.722552;
1.88303;-4.21074;0.428317;0.516032;0.656199;-0.279392;-0.474398;2.01627;-7.86008;0.372802;-0.723996;0.0703575;0.0150702;0.686041;
1.88328;-4.211;0.42871;0.513216;0.661441;-0.279506;-0.470087;2.01627;-7.86008;0.372802;-0.723996;0.0703575;0.0150702;0.686041;
1.8833;-4.21115;0.428704;0.512326;0.662461;-0.279214;-0.469795;2.36158;-7.90367;0.425414;-0.892716;0.05247;0.0351816;0.446169;
1.88332;-4.21109;0.428712;0.512728;0.662065;-0.279303;-0.469861;2.36158;-7.90367;0.425414;-0.892716;0.05247;0.0351816;0.446169;
-1.70044;6.65247;1.92008;-0.0775257;-0.534915;0.840304;0.0417705;2.42922;-7.87173;0.444115;-0.903679;0.0501998;0.034033;0.423895;
