time (NSec);Turtlebot Base Quaternion (q_w);q_x;q_y;q_z;Turtlebot Base Position (t_x);t_y;t_z;
1560686426058422917;0.00243315;0.0142641;0.00755123;0.999867;0.0125151;3.1025;0.0977293;
1560686426066750347;0.00248051;0.0143395;0.0075906;0.999865;0.0125239;3.10251;0.0977293;
1560686426075099896;0.00247991;0.0143605;0.00761318;0.999865;0.0125222;3.1025;0.0977149;
1560686426083390313;0.00248593;0.0142967;0.00759107;0.999866;0.0125244;3.10251;0.0977193;
1560686426100067650;0.00251258;0.0143618;0.00763353;0.999865;0.0125279;3.1025;0.097713;
1560686426108426587;0.00248312;0.0142868;0.00757398;0.999866;0.0125165;3.1025;0.0977163;
1560686426116734310;0.00245942;0.0144221;0.00763913;0.999864;0.0125264;3.10249;0.0977175;
1560686426125059263;0.00249571;0.0143364;0.00756825;0.999865;0.012524;3.10251;0.0977297;
1560686426133383917;0.00249291;0.0142864;0.00757949;0.999866;0.0125234;3.10251;0.0977307;
1560686426149987901;0.0024901;0.0143106;0.00759018;0.999866;0.0125244;3.10251;0.0977301;
1560686426158378923;0.00248487;0.0143747;0.00757352;0.999865;0.0125279;3.1025;0.0977225;
1560686426166734356;0.0024666;0.0142391;0.00754985;0.999867;0.0125196;3.10251;0.0977211;
1560686426174964586;0.00248469;0.0143439;0.00761823;0.999865;0.0125189;3.1025;0.097718;
1560686426183292238;0.00248523;0.0143778;0.00760465;0.999865;0.0125205;3.10251;0.0977271;
1560686426200054889;0.00248827;0.0143922;0.00762919;0.999864;0.0125205;3.10251;0.0977316;
1560686426208443907;0.00249796;0.0143344;0.00762628;0.999865;0.0125229;3.10251;0.0977222;
1560686426216738244;0.00246302;0.014353;0.00759313;0.999865;0.0125214;3.10251;0.0977306;
1560686426225061005;0.00246057;0.0143354;0.00758448;0.999865;0.0125242;3.10251;0.0977318;
1560686426233388701;0.00248761;0.0142827;0.00759923;0.999866;0.0125218;3.10251;0.0977256;
1560686426249974146;0.00246027;0.0143782;0.00764766;0.999864;0.0125244;3.1025;0.0977198;
1560686426258403158;0.00244804;0.014314;0.0076179;0.999866;0.0125174;3.10249;0.0977138;
1560686426266762582;0.00252512;0.0145117;0.00765377;0.999862;0.0125313;3.1025;0.0977253;
1560686426275089181;0.00246341;0.0143201;0.00758395;0.999866;0.0125227;3.10251;0.0977244;
1560686426283328282;0.00247229;0.0143424;0.00763201;0.999865;0.0125176;3.10251;0.0977256;
